Id,Label,startdate
804, Plasma cell,01/01/2014
805, Plasmacytoid,01/01/2013
806, plasmatic clearance,01/01/2004
807, Platelets,01/01/2013
808, Platinum,01/01/2009
809, platinum compound,01/01/2003
810, platinum drugs,01/01/2012
811, platinum-based therapy,01/01/1999
812, Pleural mesothelioma,01/01/2013
813, PMN-elastase,01/01/2003
814, Pneumoperitoneum,01/01/2013
815, POEMS syndrome,01/01/2014
816, poly(ADP-ribose) polymerase (PARP),01/01/1999
817, polymer therapeutics,01/01/2008
818, Polymorphism,01/01/2009
819, polymorphisms,01/01/2003
820, polyunsaturated fatty acids,01/01/2013
821, population study,01/01/2007
822, Population-based study,01/01/2014
823, porphyrin,01/01/1999
824, portal vein embolisation,01/01/2010
825, post-operative,01/01/2005
826, post-partum,01/01/1999
827, post-treatment parenthood,01/01/2007
828, Postural stability,01/01/2012
829, potential drug&#x02013;drug interactions,01/01/2013
830, potentiation,01/01/2004
831, practice guideline,01/01/2011
832, Practice patterns,01/01/2004
833, prediction,01/01/2012
834, Predictive biomarkers,01/01/2012
835, predictive factor,01/01/2002
836, predictive factors,01/01/2009
837, Predictive marker,01/01/2012
838, Predictors of recurrence,01/01/2014
839, preferences,01/01/2001
840, Pregnancy,01/01/2011
841, pregnancy choriocarcinoma,01/01/2002
842, Premature ovarian failure,01/01/2013
843, Prescribing errors,01/01/2013
844, primary cell cultures,01/01/2006
845, primary central nervous system lymphoma,01/01/2004
846, Primary CNS lymphoma,01/01/2009
847, Primary tumour,01/01/2013
848, probiotic,01/01/2007
849, procoagulants,01/01/2008
850, prodrug,01/01/2002
851, Prognosis,01/01/1999
852, prognosis analysis,01/01/2013
853, prognostic,01/01/1999
854, Prognostic biomarker,01/01/2012
855, Prognostic factor,01/01/2013
856, prognostic factors,01/01/2001
857, Prognostic marker,01/01/2011
858, prognostic score,01/01/2004
859, prognostis factors,01/01/1999
860, Program evaluation,01/01/2014
861, Programmed necrosis,01/01/2014
862, Progression-free survival,01/01/2014
863, Proliferation,01/01/2003
864, propensity score,01/01/2011
865, prophylactic antiviral therapy,01/01/2013
866, prophylaxis,01/01/2009
867, prostate cancer,01/01/2003
868, proteasome,01/01/2003
869, PS-341,01/01/2003
870, pseudomyxoma peritonei,01/01/2008
871, PTEN,01/01/2009
872, PTS2,01/01/2013
873, Pulmonary hypertension,01/01/2013
874, Purine nucleoside phosphorylase (PNP),01/01/2011
875, QPCR,01/01/2012
876, Qualitative evaluation,01/01/2013
877, Qualitative Research,01/01/2012
878, Quality in health care,01/01/2012
879, Quality of life,01/01/1999
880, Quality-adjusted life-year,01/01/2013
881, quercetin,01/01/2011
882, quiescent,01/01/2005
883, Radiation,01/01/2008
884, radiation therapy,01/01/2004
885, radical cystectomy,01/01/2004
886, radiotherapy,01/01/1999
887, raltitrexed,01/01/2003
888, randomised,01/01/2005
889, randomised clinical trial,01/01/2006
890, randomised control trial,01/01/2002
891, Randomised controlled trial,01/01/2009
892, randomized clinical trial,01/01/2012
893, randomized control trial,01/01/2000
894, randomized trial,01/01/2000
895, rapid referral,01/01/2009
896, Rare tumors,01/01/2012
897, RAS,01/01/2007
898, Rat,01/01/2012
899, rational,01/01/2005
900, RE1,01/01/2012
901, Reactivation,01/01/2013
902, Receptor tyrosine kinase,01/01/2012
903, RECIST,01/01/2002
904, recombinant human erythropoietin,01/01/2001
905, Rectal cancer,01/01/2008
906, recurrence,01/01/2002
907, REG,01/01/2013
908, re-induction,01/01/2008
909, relapse,01/01/2000
910, relapsed SCLC,01/01/2010
911, renal cell carcinoma,01/01/2004
912, renal function,01/01/1999
913, renal insufficiency,01/01/2003
914, renin&#x02013;angiotensin system,01/01/2010
915, Resection,01/01/2005
916, residual disease,01/01/1999
917, Resistance,01/01/2003
918, Resistance training,01/01/2012
919, response,01/01/2002
920, response to therapy,01/01/2003
921, REST,01/01/2012
922, retinoids,01/01/2006
923, review,01/01/2004
924, risk,01/01/2012
925, risk factors,01/01/2001
926, risk model,01/01/2003
927, Rituximab,01/01/2011
928, RPLND,01/01/1999
929, S-1,01/01/2004
930, Safety,01/01/2013
931, Salinomycin,01/01/2013
932, salvage therapy,01/01/2006
933, Sarcoma,01/01/2013
934, sarcoma botryoides,01/01/1999
935, satisfaction,01/01/2004
936, SCCHN,01/01/2013
937, SCLC,01/01/1999
938, Screening.,01/01/2012
939, second malignancies,01/01/2008
940, second malignant neoplasms,01/01/2008
941, second primary cancer,01/01/2006
942, second-line,01/01/2001
943, second-line therapy,01/01/2007
944, second-line treatment,01/01/2003
945, seminoma,01/01/2000
946, sensitivity,01/01/2006
947, sepsis,01/01/1999
948, Sequence analysis,01/01/2012
949, sequential,01/01/2005
950, Serum,01/01/2014
951, serum lipids,01/01/2004
952, Severity,01/01/2014
953, Sexual function,01/01/2006
954, sexual functioning,01/01/1999
955, Sexuality,01/01/2012
956, shared decision-making,01/01/2001
957, side effects,01/01/2005
958, Side-effect,01/01/2009
959, Side-Effects,01/01/2008
960, Simulation study,01/01/2012
961, small cell,01/01/2007
962, small cell lung cancer,01/01/2001
963, small intestine,01/01/2011
964, small-cell lung cancer,01/01/1999
965, smoking,01/01/2007
966, SN-38,01/01/2002
967, Snail,01/01/2013
968, soft tissue sarcoma,01/01/2012
969, solid tumours,01/01/2001
970, spectroscopy,01/01/2006
971, sperm bank,01/01/2014
972, spheroid,01/01/2005
973, sphingolipid,01/01/2004
974, spinal cord tumour,01/01/1999
975, SPORTS MEDICINE,01/01/2013
976, squalene,01/01/2014
977, squamous cell carcinoma of the breast (SCCB),01/01/2013
978, squamous cell head and neck cancer,01/01/2005
979, Squamous cell lung cancer,01/01/2014
980, SRL172,01/01/2000
981, stage,01/01/2004
982, Stage IV,01/01/2012
983, stem cell,01/01/2013
984, Stem cell transplantation,01/01/2014
985, stress response,01/01/2013
986, supportive care,01/01/2008
987, surgery,01/01/2003
988, Surgical resection,01/01/2013
989, Survival,01/01/2001
990, survival analysis,01/01/2012
991, Survival threshold,01/01/2013
992, survivin,01/01/2014
993, Survivor,01/01/2013
994, symptom control,01/01/2013
995, Symptoms,01/01/2013
996, synchronous metastases,01/01/2010
997, synergy,01/01/2002
998, syngeneic tumour,01/01/2009
999, Synovial sarcoma,01/01/2013
1000, Synthetic,01/01/2014
1001, systematic review,01/01/2001
1002, systemic inflammatory response,01/01/2004
1003, systemic therapy,01/01/2008
1004, T cells,01/01/2012
1005, t(14;18),01/01/1999
1006, T1-3 N0,01/01/2012
1007, Tamoxifen,01/01/1999
1008, targeted therapy,01/01/2009
1009, taxanes,01/01/2003
1010, T-cell lymphoblastic lymphoma,01/01/2009
1011, tegafur,01/01/2002
1012, telomerase inhibitors,01/01/1999
1013, telomere length,01/01/1999
1014, Temozolomide,01/01/2002
1015, testicular cancer,01/01/1999
1016, testicular neoplasm,01/01/1999
1017, therapeutic ultrasound,01/01/2010
1018, therapeutics,01/01/2007
1019, therapy,01/01/2010
1020, Thioredoxins,01/01/2012
1021, third primary cancer,01/01/2012
1022, Thrombopoietin receptor agonists,01/01/2013
1023, thrombosis,01/01/2005
1024, thymidine kinase,01/01/2008
1025, thymidine phosphorylase,01/01/1999
1026, thymoma,01/01/2009
1027, TIMP-1,01/01/2003
1028, tissue permeability,01/01/2010
1029, Tissue transglutaminase,01/01/2011
1030, titanocene,01/01/2007
1031, TNF,01/01/2014
1032, tobacco,01/01/2006
1033, tomudex,01/01/2000
1034, Tooth extraction,01/01/2013
1035, topoisomerase,01/01/2005
1036, topoisomerase II<italic>&#x003b1;</italic>,01/01/2004
1037, total body irradiation,01/01/2002
1038, Total parenteral nutrition,01/01/2011
1039, Totally implantable venous access device,01/01/2014
1040, Toxic,01/01/2014
1041, Toxic optic neuropathy,01/01/2014
1042, Toxicity,01/01/2001
1043, TP53,01/01/2007
1044, Traditional,01/01/2013
1045, TRAIL,01/01/2014
1046, transforming growth factor-<italic>&#x003b1;</italic>,01/01/2009
1047, transfusion,01/01/2001
1048, Transposon mutagenesis,01/01/2013
1049, treatment,01/01/2000
1050, treatment decisions,01/01/2008
1051, treatment delay,01/01/2008
1052, treatment duration,01/01/2006
1053, treatment efficacy,01/01/2005
1054, treatment-related death,01/01/2001
1055, Trend,01/01/2014
1056, trophoblastic disease,01/01/2002
1057, TS-1,01/01/2013
1058, Tumor heterogeneity,01/01/2013
1059, tumour,01/01/2000
1060, tumour barrier,01/01/1999
1061, tumour markers,01/01/1999
1062, tumour oxygenation,01/01/2005
1063, tumour response,01/01/2002
1064, tumour-supernatants,01/01/2012
1065, TXRF method,01/01/2014
1066, tyrphostins,01/01/2005
1067, ubiquitin,01/01/2003
1068, UDP-glucuronosyltransferase,01/01/2012
1069, UFT,01/01/2002
1070, Ultrasonic spectrum analysis,01/01/2013
1071, unknown primary,01/01/2008
1072, unresectable,01/01/2003
1073, Unresectable metastases,01/01/2013
1074, Urinary bladder neoplasm,01/01/2013
1075, urinary tract infections,01/01/2000
1076, US guided,01/01/2014
1077, User-characteristics,01/01/2013
1078, vaccination,01/01/2010
1079, vaccine,01/01/2002
1080, vascular endothelial growth factor,01/01/2009
1081, vascular endothelial growth factor receptor,01/01/2005
1082, VEGF,01/01/1999
1083, VEGF-C,01/01/2013
1084, venous port system,01/01/2012
1085, venous thromboembolism,01/01/2008
1086, Vessel permeability,01/01/2012
1087, vincristine,01/01/2004
1088, Vinorelbine,01/01/2007
1089, virotherapy,01/01/2006
1090, viscum fraxini-2,01/01/2004
1091, visual acuity,01/01/2003
1092, vitamin D,01/01/2003
1093, vomiting,01/01/2006
1094, waiting times,01/01/2008
1095, WDFY1,01/01/2013
1096, web-based,01/01/2012
1097, weight loss,01/01/2002
1098, Well-differentiated fetal adenocarcinoma,01/01/2014
1099, WHO,01/01/2002
1100, Wilms&#x02019;,01/01/2000
1101, XELOX,01/01/2007
1102, ZOL,01/01/2010
1103, zoledronic acid,01/01/2012
